time;x;y;z;gforce
0,0070;-0,0480;0,1801;1,0207;1,038
0,0080;-0,0280;0,1721;1,0407;1,055
0,0190;-0,0400;0,1561;1,0327;1,045
0,0420;-0,0360;0,1201;1,0167;1,024
0,0450;-0,0320;0,1041;1,0487;1,054
0,0460;-0,0200;0,1081;1,0767;1,082
0,0650;-0,0280;0,1321;1,0647;1,073
0,0660;-0,0320;0,1481;1,0447;1,056
0,0790;-0,0400;0,1361;1,0327;1,042
0,0970;-0,0440;0,1201;1,0447;1,053
0,0990;-0,0280;0,1201;1,0487;1,056
0,1150;-0,0320;0,1201;1,0327;1,040
0,1160;-0,0360;0,1241;1,0407;1,049
0,1290;-0,0200;0,1361;1,0327;1,042
0,1500;-0,0320;0,1321;1,0367;1,046
0,1520;-0,0360;0,1281;1,0527;1,061
0,1780;-0,0360;0,1201;1,0607;1,068
0,1800;-0,0360;0,1281;1,0727;1,081
0,1820;-0,0320;0,1241;1,0527;1,060
0,1870;-0,0280;0,1281;1,0487;1,057
0,1950;-0,0200;0,1361;1,0447;1,054
0,2050;-0,0280;0,1241;1,0407;1,048
0,2150;-0,0240;0,1241;1,0647;1,072
0,2370;-0,0160;0,1281;1,0647;1,073
0,2390;-0,0160;0,1241;1,0607;1,068
0,2520;-0,0120;0,1201;1,0607;1,068
0,2590;-0,0160;0,1161;1,0607;1,067
0,2650;-0,0160;0,1161;1,0487;1,055
0,2780;-0,0200;0,1041;1,0447;1,050
0,2850;-0,0200;0,1161;1,0567;1,063
0,2960;-0,0160;0,1161;1,0607;1,067
0,3180;-0,0280;0,1081;1,0527;1,059
0,3190;-0,0320;0,1161;1,0607;1,068
0,3290;-0,0280;0,1241;1,0527;1,060
0,3350;-0,0280;0,1241;1,0607;1,068
0,3590;-0,0280;0,1201;1,0567;1,064
0,3600;-0,0240;0,1321;1,0447;1,053
0,3650;-0,0280;0,1321;1,0647;1,073
0,3850;-0,0280;0,1321;1,0727;1,081
0,3870;-0,0440;0,1481;1,0847;1,096
0,4270;-0,0520;0,1281;1,0647;1,074
0,4290;-0,0520;0,1281;1,0767;1,086
0,4320;-0,0520;0,1281;1,0687;1,078
0,4330;-0,0440;0,1241;1,0687;1,077
0,4420;-0,0400;0,1401;1,0687;1,079
0,4510;-0,0320;0,1201;1,0727;1,080
0,4700;-0,0440;0,1241;1,0767;1,085
0,4710;-0,0400;0,1161;1,0487;1,056
0,4850;-0,0400;0,1121;1,0567;1,063
0,4870;-0,0280;0,1041;1,0447;1,050
0,4960;-0,0400;0,1001;1,0327;1,038
0,5080;-0,0360;0,1041;1,0447;1,050
0,5150;-0,0320;0,1201;1,0487;1,056
0,5250;-0,0360;0,1081;1,0527;1,059
0,5350;-0,0320;0,1081;1,0487;1,055
0,5530;-0,0440;0,0921;1,0647;1,070
