time;x;y;z;gforce
0,0030;-0,2242;0,5204;0,8846;1,050
0,0040;-0,2362;0,5204;0,8846;1,053
0,0050;-0,2242;0,5083;0,8766;1,038
0,0060;-0,2161;0,5123;0,8886;1,048
0,0070;-0,2041;0,5083;0,8926;1,047
0,0070;-0,2001;0,5123;0,8926;1,048
0,0080;-0,1921;0,5123;0,8846;1,040
0,0150;-0,2001;0,5123;0,8726;1,031
0,0250;-0,1961;0,5244;0,8966;1,057
0,0500;-0,1921;0,5244;0,8926;1,053
0,0520;-0,1921;0,5123;0,8926;1,047
0,0790;-0,1801;0,5043;0,8966;1,044
0,0800;-0,1681;0,5123;0,8806;1,033
0,0830;-0,1681;0,5083;0,8886;1,037
0,0840;-0,1641;0,5123;0,8846;1,035
0,0950;-0,1561;0,5204;0,8966;1,048
0,1140;-0,1641;0,5164;0,9126;1,061
0,1170;-0,1641;0,5123;0,8966;1,046
0,1330;-0,1601;0,4923;0,9166;1,053
0,1580;-0,1601;0,5083;0,9086;1,053
0,1600;-0,1681;0,4963;0,8966;1,039
0,1610;-0,1641;0,5043;0,9206;1,062
0,1720;-0,1561;0,4883;0,9166;1,050
0,1840;-0,1601;0,4963;0,9046;1,044
0,1850;-0,1521;0,5043;0,9086;1,050
0,1940;-0,1601;0,5043;0,9006;1,045
0,2160;-0,1601;0,5083;0,9006;1,046
0,2170;-0,1481;0,5043;0,9046;1,046
0,2500;-0,1641;0,4923;0,9326;1,067
0,2510;-0,1521;0,4883;0,9006;1,036
0,2540;-0,1721;0,4883;0,9126;1,049
0,2550;-0,1721;0,4963;0,9246;1,063
0,2640;-0,1681;0,5083;0,9166;1,062
0,2740;-0,1601;0,4963;0,9086;1,048
0,2940;-0,1521;0,4963;0,9326;1,067
0,2960;-0,1521;0,5083;0,9246;1,066
0,3050;-0,1561;0,5083;0,9046;1,049
0,3150;-0,1601;0,5123;0,9126;1,059
0,3340;-0,1641;0,4963;0,9166;1,055
0,3430;-0,1681;0,4923;0,9126;1,050
0,3670;-0,1601;0,4963;0,9246;1,062
0,3690;-0,1561;0,4843;0,9326;1,062
0,3700;-0,1561;0,4843;0,9126;1,045
0,3760;-0,1601;0,4763;0,9086;1,038
0,3840;-0,1481;0,4803;0,9206;1,049
0,3940;-0,1481;0,4843;0,9166;1,047
0,4120;-0,1481;0,4883;0,9246;1,056
0,4150;-0,1401;0,4883;0,9166;1,048
0,4410;-0,1401;0,4883;0,8926;1,027
0,4420;-0,1441;0,4803;0,8926;1,024
0,4480;-0,1481;0,4723;0,9006;1,028
0,4570;-0,1521;0,4843;0,9046;1,037
0,4640;-0,1481;0,4843;0,9206;1,051
0,4740;-0,1441;0,4883;0,9206;1,052
0,4940;-0,1401;0,4883;0,9206;1,051
0,4950;-0,1361;0,4843;0,9286;1,056
0,5100;-0,1281;0,4843;0,9086;1,038
0,5140;-0,1321;0,4803;0,9246;1,050
0,5380;-0,1281;0,4803;0,9126;1,039
0,5390;-0,1241;0,4843;0,9326;1,058
0,5460;-0,1201;0,4843;0,9366;1,061
0,5540;-0,1241;0,4843;0,9366;1,062
0,5640;-0,1241;0,4843;0,9446;1,069
0,5740;-0,1281;0,4843;0,9366;1,062
0,5850;-0,1241;0,4963;0,9366;1,067
0,5940;-0,1241;0,4843;0,9486;1,072
0,6110;-0,1281;0,4763;0,9566;1,076
0,6160;-0,1321;0,4763;0,9406;1,063
0,6370;-0,1321;0,4803;0,9286;1,054
0,6380;-0,1361;0,4803;0,9326;1,058
0,6440;-0,1281;0,4963;0,9206;1,054
0,6540;-0,1361;0,4843;0,9326;1,060
0,6640;-0,1361;0,4843;0,9366;1,063
0,6740;-0,1281;0,4883;0,9446;1,071
0,6860;-0,1241;0,4803;0,9526;1,074
0,6940;-0,1121;0,4803;0,9486;1,069
0,7170;-0,1081;0,4723;0,9566;1,072
0,7190;-0,1121;0,4683;0,9366;1,053
0,7240;-0,1201;0,4803;0,9366;1,059
0,7490;-0,1161;0,4843;0,9246;1,050
0,7510;-0,1241;0,4843;0,9286;1,055
0,7670;-0,1241;0,4843;0,9166;1,044
0,7690;-0,1241;0,4883;0,9406;1,067
0,7750;-0,1201;0,4803;0,9446;1,067
0,7850;-0,1241;0,4683;0,9486;1,065
0,7940;-0,1241;0,4683;0,9326;1,051
0,8040;-0,1201;0,4683;0,9566;1,072
0,8140;-0,1161;0,4763;0,9566;1,075
0,8310;-0,1121;0,4723;0,9566;1,073
0,8480;-0,1121;0,4763;0,9526;1,071
0,8500;-0,1161;0,4723;0,9406;1,059
0,8540;-0,1121;0,4803;0,9406;1,062
0,8640;-0,1121;0,4723;0,9366;1,055
0,8740;-0,1161;0,4723;0,9366;1,055
0,8840;-0,1201;0,4723;0,9366;1,056
0,8940;-0,1241;0,4603;0,9446;1,058
0,9150;-0,1281;0,4643;0,9326;1,050
0,9240;-0,1201;0,4603;0,9366;1,051
0,9380;-0,1281;0,4523;0,9246;1,037
0,9440;-0,1281;0,4563;0,9246;1,039
0,9540;-0,1281;0,4563;0,9366;1,050
0,9640;-0,1201;0,4603;0,9406;1,054
0,9750;-0,1321;0,4483;0,9406;1,050
0,9850;-0,1241;0,4563;0,9406;1,053
0,9940;-0,1281;0,4443;0,9366;1,045
1,0040;-0,1321;0,4363;0,9246;1,031
1,0150;-0,1321;0,4523;0,9246;1,038
1,0300;-0,1201;0,4683;0,9286;1,047
1,0570;-0,1161;0,4683;0,9326;1,050
1,0590;-0,1161;0,4763;0,9406;1,061
1,0600;-0,1121;0,4683;0,9326;1,050
1,0650;-0,1121;0,4683;0,9406;1,057
1,0740;-0,1161;0,4603;0,9486;1,061
1,0840;-0,1241;0,4683;0,9526;1,069
1,0940;-0,1241;0,4523;0,9486;1,058
1,1310;-0,1241;0,4483;0,9647;1,071
1,1330;-0,1161;0,4443;0,9486;1,054
1,1340;-0,1201;0,4403;0,9366;1,042
1,1350;-0,1121;0,4563;0,9366;1,048
1,1450;-0,1121;0,4683;0,9286;1,046
1,1560;-0,1161;0,4603;0,9246;1,039
1,1740;-0,1121;0,4523;0,9166;1,028
1,1840;-0,1241;0,4563;0,9326;1,046
1,1940;-0,1241;0,4523;0,9406;1,051
1,2140;-0,1161;0,4603;0,9406;1,054
1,2170;-0,1161;0,4643;0,9486;1,063
1,2240;-0,1121;0,4683;0,9607;1,075
1,2460;-0,1121;0,4683;0,9486;1,064
1,2470;-0,1041;0,4643;0,9566;1,068
1,2540;-0,1081;0,4523;0,9566;1,064
1,2640;-0,1081;0,4603;0,9566;1,067
1,2740;-0,1121;0,4683;0,9486;1,064
1,2850;-0,1081;0,4603;0,9446;1,056
1,2940;-0,1081;0,4643;0,9286;1,044
1,3040;-0,1041;0,4683;0,9366;1,052
1,3140;-0,1081;0,4683;0,9486;1,063
1,3370;-0,1161;0,4643;0,9446;1,059
1,3380;-0,1161;0,4603;0,9486;1,061
1,3470;-0,1201;0,4523;0,9406;1,051
1,3630;-0,1321;0,4483;0,9446;1,054
1,3670;-0,1321;0,4363;0,9526;1,056
1,3750;-0,1241;0,4403;0,9647;1,068
1,4010;-0,1281;0,4483;0,9526;1,061
1,4190;-0,1241;0,4523;0,9607;1,069
1,4200;-0,1201;0,4523;0,9607;1,069
1,4210;-0,1241;0,4603;0,9566;1,069
1,4830;-0,1201;0,4603;0,9486;1,061
1,4840;-0,1121;0,4523;0,9526;1,061
1,4870;-0,1121;0,4563;0,9566;1,066
1,4880;-0,1161;0,4563;0,9406;1,052
1,4890;-0,1081;0,4563;0,9486;1,058
1,4910;-0,1081;0,4523;0,9607;1,067
1,4920;-0,1081;0,4643;0,9566;1,069
1,4940;-0,1001;0,4603;0,9406;1,052
