time;x;y;z;gforce
0,0060;-0,1321;0,5043;0,9286;1,065
0,0080;-0,1361;0,5003;0,9246;1,060
0,0100;-0,1281;0,5003;0,9286;1,063
0,0110;-0,1241;0,4923;0,9366;1,065
0,0130;-0,1121;0,4763;0,9366;1,057
0,0450;-0,1161;0,4803;0,9406;1,063
0,0490;-0,1001;0,4763;0,9526;1,070
0,0510;-0,1001;0,4763;0,9607;1,077
0,0520;-0,0921;0,4683;0,9566;1,069
0,0770;-0,0841;0,4643;0,9526;1,063
0,0850;-0,0881;0,4683;0,9566;1,069
0,0870;-0,0961;0,4683;0,9767;1,087
0,1180;-0,1081;0,4723;0,9326;1,051
0,1210;-0,1121;0,4723;0,9406;1,059
0,1220;-0,1121;0,4643;0,9446;1,059
0,1230;-0,1001;0,4723;0,9607;1,075
0,1620;-0,0961;0,4683;0,9687;1,080
0,1640;-0,0921;0,4603;0,9847;1,091
0,1650;-0,0881;0,4523;0,9767;1,080
0,1680;-0,0921;0,4523;0,9687;1,073
0,1860;-0,0921;0,4523;0,9647;1,069
0,1880;-0,0881;0,4443;0,9526;1,055
0,2010;-0,0841;0,4483;0,9406;1,045
0,2030;-0,0801;0,4443;0,9526;1,054
0,2210;-0,0761;0,4483;0,9526;1,056
0,2220;-0,0801;0,4483;0,9366;1,041
0,2510;-0,0761;0,4483;0,9366;1,041
0,2530;-0,0801;0,4403;0,9526;1,053
0,2540;-0,0761;0,4483;0,9486;1,052
0,2620;-0,0801;0,4443;0,9486;1,051
0,2710;-0,0921;0,4403;0,9486;1,050
0,2980;-0,0841;0,4283;0,9566;1,052
0,3000;-0,0720;0,4363;0,9607;1,058
0,3010;-0,0680;0,4403;0,9607;1,059
0,3220;-0,0761;0,4363;0,9566;1,054
0,3250;-0,0720;0,4283;0,9647;1,058
0,3350;-0,0801;0,4403;0,9526;1,053
0,3530;-0,0720;0,4363;0,9486;1,047
0,3540;-0,0801;0,4363;0,9687;1,065
0,3700;-0,0841;0,4443;0,9647;1,065
0,3720;-0,0680;0,4323;0,9687;1,063
0,3860;-0,0680;0,4243;0,9807;1,071
0,4100;-0,0680;0,4363;0,9486;1,046
0,4110;-0,0640;0,4363;0,9727;1,068
0,4150;-0,0600;0,4363;0,9647;1,060
0,4270;-0,0761;0,4323;0,9687;1,063
0,4360;-0,0480;0,4283;0,9687;1,060
0,4400;-0,0600;0,4203;0,9767;1,065
0,4500;-0,0560;0,4243;0,9767;1,066
0,4600;-0,0560;0,4443;0,9607;1,060
0,4710;-0,0600;0,4283;0,9526;1,046
0,4960;-0,0520;0,4243;0,9607;1,051
0,4980;-0,0480;0,4243;0,9887;1,077
0,5260;-0,0480;0,4083;0,9807;1,063
0,5270;-0,0600;0,4123;1,0047;1,088
0,5300;-0,0640;0,4203;0,9927;1,080
0,5320;-0,0440;0,4003;0,9887;1,068
0,5400;-0,0560;0,4083;0,9687;1,053
0,5540;-0,0600;0,4043;0,9727;1,055
0,5610;-0,0600;0,4083;0,9687;1,053
0,5730;-0,0600;0,4163;0,9607;1,049
0,5840;-0,0520;0,4123;0,9687;1,054
0,5900;-0,0480;0,4083;0,9607;1,045
0,6130;-0,0520;0,4043;0,9847;1,066
0,6150;-0,0560;0,3923;0,9807;1,058
0,6340;-0,0600;0,3963;0,9807;1,059
0,6350;-0,0560;0,3963;0,9847;1,063
0,6500;-0,0560;0,4003;0,9767;1,057
0,6600;-0,0560;0,4003;0,9807;1,061
0,6710;-0,0440;0,3923;0,9887;1,065
0,6970;-0,0400;0,3883;0,9927;1,067
0,6980;-0,0440;0,3923;0,9967;1,072
