time;x;y;z;gforce
0,0030;-0,0160;0,1681;0,9687;0,983
0,0040;-0,0200;0,1641;0,9847;0,998
0,0130;-0,0240;0,1641;0,9807;0,995
0,0400;-0,0320;0,1481;1,0247;1,036
0,0420;-0,0200;0,1201;1,0607;1,068
0,0430;-0,0160;0,1201;1,0647;1,072
0,0670;-0,0080;0,1161;1,0567;1,063
0,0680;-0,0080;0,1201;1,0567;1,064
0,0850;-0,0040;0,1201;1,0567;1,064
0,0860;-0,0040;0,1361;1,0727;1,081
0,1050;-0,0080;0,1281;1,0647;1,072
0,1060;-0,0000;0,1361;1,0727;1,081
0,1250;-0,0120;0,1321;1,0847;1,093
0,1260;-0,0080;0,1561;1,0807;1,092
0,1440;-0,0080;0,1441;1,0487;1,059
0,1450;-0,0160;0,1641;1,0647;1,077
0,1650;-0,0000;0,1481;1,0727;1,083
0,1660;-0,0120;0,1321;1,0767;1,085
0,1980;-0,0160;0,1241;1,0767;1,084
0,1990;-0,0160;0,1161;1,0527;1,059
0,2010;-0,0080;0,1321;1,0647;1,073
0,2080;-0,0200;0,1321;1,0567;1,065
0,2170;-0,0120;0,1401;1,0447;1,054
0,2390;-0,0200;0,1521;1,0407;1,052
0,2410;-0,0160;0,1481;1,0327;1,043
0,2730;-0,0120;0,1401;1,0367;1,046
0,2750;-0,0040;0,1361;1,0367;1,046
0,2760;-0,0080;0,1441;1,0567;1,067
0,2770;-0,0120;0,1361;1,0607;1,069
0,2830;-0,0120;0,1361;1,0527;1,062
0,2940;-0,0120;0,1281;1,0487;1,057
0,3030;-0,0160;0,1241;1,0487;1,056
0,3130;-0,0040;0,1361;1,0487;1,058
0,3240;-0,0120;0,1321;1,0527;1,061
0,3400;-0,0120;0,1481;1,0487;1,059
0,3540;-0,0080;0,1321;1,0487;1,057
0,3550;-0,0160;0,1201;1,0607;1,068
0,3630;-0,0160;0,1161;1,0767;1,083
0,3810;-0,0200;0,1201;1,0687;1,076
0,3900;-0,0240;0,1201;1,0647;1,072
0,4000;-0,0120;0,1041;1,0647;1,070
0,4030;-0,0120;0,1161;1,0727;1,079
0,4130;-0,0080;0,1201;1,0607;1,068
0,4520;-0,0080;0,1161;1,0567;1,063
0,4530;0,0040;0,1161;1,0527;1,059
0,4540;-0,0040;0,1041;1,0647;1,070
0,4550;-0,0080;0,1001;1,0567;1,061
0,4650;-0,0120;0,1041;1,0487;1,054
0,4740;-0,0080;0,1121;1,0527;1,059
0,4840;-0,0160;0,1121;1,0407;1,047
0,4930;-0,0120;0,1201;1,0447;1,052
0,5030;-0,0120;0,1201;1,0487;1,056
0,5130;-0,0160;0,1241;1,0447;1,052
0,5470;-0,0160;0,1281;1,0407;1,049
0,5490;-0,0200;0,1321;1,0447;1,053
0,5500;-0,0080;0,1481;1,0527;1,063
0,5740;-0,0240;0,1241;1,0527;1,060
0,5760;-0,0320;0,1121;1,0447;1,051
0,5770;-0,0160;0,1241;1,0527;1,060
0,5840;-0,0080;0,1201;1,0527;1,060
0,5930;-0,0040;0,1041;1,0487;1,054
0,6030;-0,0080;0,1201;1,0527;1,060
0,6130;-0,0080;0,1161;1,0607;1,067
0,6240;-0,0120;0,1121;1,0567;1,063
0,6480;-0,0080;0,1121;1,0647;1,071
0,6500;-0,0080;0,1001;1,0687;1,073
0,6540;-0,0080;0,1121;1,0607;1,067
0,6750;-0,0080;0,1041;1,0647;1,070
0,6760;-0,0080;0,1081;1,0647;1,070
0,6830;-0,0040;0,1161;1,0687;1,075
0,6930;-0,0040;0,1081;1,0527;1,058
0,7030;-0,0000;0,1001;1,0687;1,073
