time;x;y;z;gforce
0,0090;-0,0000;0,1201;1,0127;1,020
0,0100;-0,0080;0,1161;1,0127;1,019
0,0160;-0,0120;0,1121;1,0407;1,047
0,0660;-0,0080;0,1121;1,0487;1,055
0,0670;-0,0160;0,1161;1,0487;1,055
0,0680;-0,0080;0,1161;1,0687;1,075
0,0690;-0,0120;0,1081;1,0607;1,066
0,0700;-0,0120;0,0961;1,0287;1,033
0,0810;-0,0120;0,1081;1,0127;1,019
0,0880;-0,0040;0,1161;0,9967;1,003
0,0960;-0,0000;0,1081;0,9927;0,999
0,1080;-0,0080;0,1081;1,0047;1,011
0,1160;-0,0080;0,1241;0,9967;1,004
0,1440;-0,0000;0,1281;1,0167;1,025
0,1450;0,0040;0,1201;1,0327;1,040
0,1470;-0,0040;0,1281;1,0447;1,053
0,1740;-0,0080;0,1321;1,0487;1,057
0,1750;-0,0040;0,1361;1,0527;1,061
0,1760;-0,0000;0,1321;1,0447;1,053
0,1990;-0,0040;0,1321;1,0607;1,069
0,2000;0,0040;0,1401;1,0567;1,066
0,2060;0,0040;0,1441;1,0607;1,070
0,2160;0,0080;0,1361;1,0607;1,069
0,2260;0,0040;0,1281;1,0607;1,068
0,2370;-0,0000;0,1281;1,0687;1,076
0,2460;0,0080;0,1361;1,0687;1,077
0,2560;-0,0000;0,1401;1,0687;1,078
0,2660;0,0040;0,1321;1,0647;1,073
0,2760;0,0160;0,1201;1,0607;1,068
0,2910;0,0160;0,1201;1,0567;1,064
0,2960;0,0080;0,1241;1,0607;1,068
0,3060;0,0040;0,1121;1,0607;1,067
0,3170;0,0120;0,1281;1,0647;1,072
0,3350;0,0080;0,1241;1,0647;1,072
0,3370;-0,0000;0,1281;1,0527;1,060
0,3470;-0,0080;0,1201;1,0407;1,048
0,3630;-0,0120;0,1321;1,0567;1,065
0,3660;-0,0160;0,1321;1,0607;1,069
0,3760;-0,0120;0,1281;1,0567;1,065
0,3910;0,0040;0,1281;1,0607;1,068
0,3960;-0,0040;0,1241;1,0607;1,068
0,4060;-0,0000;0,1201;1,0647;1,071
0,4160;-0,0040;0,1201;1,0727;1,079
0,4330;-0,0000;0,1241;1,0607;1,068
0,4430;0,0080;0,1201;1,0447;1,052
0,4460;-0,0000;0,1041;1,0567;1,062
0,4570;0,0040;0,1121;1,0607;1,067
0,4660;0,0080;0,1121;1,0527;1,059
0,4760;0,0080;0,1281;1,0447;1,053
0,4880;-0,0000;0,1121;1,0487;1,055
0,5060;-0,0000;0,1121;1,0527;1,059
0,5160;-0,0040;0,1121;1,0567;1,063
0,5330;0,0040;0,1161;1,0367;1,043
0,5610;0,0080;0,1121;1,0367;1,043
0,5630;-0,0040;0,1161;1,0327;1,039
0,5640;-0,0040;0,1081;1,0367;1,042
0,5660;-0,0000;0,1161;1,0447;1,051
0,5760;-0,0000;0,1161;1,0567;1,063
0,5890;-0,0040;0,1201;1,0607;1,068
0,5960;-0,0080;0,1201;1,0567;1,064
0,6060;-0,0120;0,1201;1,0647;1,072
0,6160;-0,0080;0,1201;1,0527;1,060
0,6350;-0,0080;0,1201;1,0567;1,064
0,6370;-0,0040;0,1281;1,0647;1,072
0,6460;-0,0080;0,1321;1,0447;1,053
0,6580;-0,0000;0,1201;1,0607;1,067
0,6660;0,0040;0,1201;1,0607;1,068
