time;x;y;z;gforce
0,0080;-0,0640;0,3082;1,0207;1,068
0,0090;-0,0680;0,3002;1,0167;1,062
0,0100;-0,0680;0,2922;1,0247;1,068
0,0170;-0,0640;0,3002;1,0287;1,074
0,0380;-0,0560;0,2962;1,0247;1,068
0,0410;-0,0520;0,2962;1,0247;1,068
0,0570;-0,0360;0,2962;1,0167;1,060
0,0590;-0,0320;0,2882;1,0127;1,053
0,0900;-0,0320;0,2962;1,0207;1,063
0,0920;-0,0440;0,3002;1,0047;1,049
0,1000;-0,0480;0,3122;1,0087;1,057
0,1020;-0,0440;0,2922;1,0087;1,051
0,1130;-0,0520;0,2962;1,0247;1,068
0,1180;-0,0440;0,2922;1,0287;1,070
0,1540;-0,0480;0,2882;1,0167;1,058
0,1560;-0,0520;0,2882;1,0087;1,050
0,1660;-0,0480;0,2922;1,0167;1,059
0,1670;-0,0440;0,2882;1,0247;1,065
0,1820;-0,0560;0,2802;1,0087;1,048
0,1870;-0,0520;0,2962;1,0087;1,053
0,1950;-0,0480;0,2922;1,0127;1,055
0,2050;-0,0520;0,3002;1,0167;1,061
0,2170;-0,0480;0,2962;1,0167;1,060
0,2340;-0,0520;0,2962;1,0087;1,053
0,2360;-0,0520;0,2882;1,0087;1,050
0,2560;-0,0520;0,2962;1,0167;1,060
0,2570;-0,0480;0,2962;1,0127;1,056
0,2650;-0,0560;0,3042;1,0167;1,063
0,2750;-0,0560;0,3002;1,0167;1,062
0,2950;-0,0520;0,3002;1,0127;1,058
0,2960;-0,0560;0,2922;1,0247;1,067
0,3060;-0,0600;0,2922;1,0207;1,063
0,3160;-0,0560;0,3002;1,0287;1,073
0,3360;-0,0520;0,2962;1,0247;1,068
0,3570;-0,0520;0,3002;1,0247;1,069
0,3580;-0,0520;0,2882;1,0327;1,073
0,3600;-0,0440;0,3002;1,0327;1,076
0,3670;-0,0520;0,2922;1,0207;1,063
0,3760;-0,0480;0,2922;1,0207;1,063
0,3930;-0,0520;0,2962;1,0327;1,076
0,3990;-0,0440;0,2882;1,0447;1,085
0,4310;-0,0480;0,3002;1,0327;1,077
0,4330;-0,0520;0,2962;1,0247;1,068
0,4350;-0,0480;0,2842;1,0167;1,057
0,4370;-0,0560;0,2882;1,0247;1,066
0,4460;-0,0560;0,2962;1,0087;1,053
0,4620;-0,0560;0,2962;1,0127;1,057
0,4880;-0,0480;0,3042;1,0207;1,066
0,4890;-0,0520;0,2962;1,0167;1,060
0,4900;-0,0560;0,2842;1,0167;1,057
0,4960;-0,0520;0,2962;1,0247;1,068
0,5050;-0,0520;0,2922;1,0247;1,067
0,5150;-0,0480;0,3002;1,0127;1,057
0,5360;-0,0440;0,2922;1,0167;1,059
0,5380;-0,0480;0,2842;1,0207;1,061
0,5530;-0,0520;0,2922;1,0247;1,067
0,5600;-0,0600;0,2962;1,0087;1,053
0,5650;-0,0640;0,2882;1,0207;1,063
0,5750;-0,0520;0,2882;1,0087;1,050
0,5860;-0,0520;0,2962;1,0047;1,049
0,5950;-0,0480;0,3002;1,0087;1,054
0,6100;-0,0400;0,2922;1,0127;1,055
0,6160;-0,0480;0,2922;1,0167;1,059
0,6490;-0,0440;0,2922;1,0087;1,051
0,6500;-0,0440;0,2842;1,0087;1,049
0,6510;-0,0520;0,2802;1,0087;1,048
0,6550;-0,0520;0,2842;1,0287;1,068
0,6650;-0,0480;0,2922;1,0327;1,074
0,6750;-0,0400;0,2962;1,0447;1,087
0,6870;-0,0560;0,2882;1,0327;1,074
0,6950;-0,0520;0,2802;1,0287;1,067
0,7050;-0,0480;0,2962;1,0287;1,072
0,7170;-0,0480;0,2882;1,0367;1,077
0,7360;-0,0400;0,2962;1,0327;1,075
0,7370;-0,0480;0,3002;1,0167;1,061
0,7450;-0,0480;0,2922;1,0127;1,055
0,7550;-0,0600;0,3042;1,0167;1,063
0,7650;-0,0520;0,3002;1,0127;1,058
0,7750;-0,0640;0,3002;1,0167;1,062
0,7860;-0,0560;0,3042;1,0127;1,059
0,7950;-0,0480;0,3042;1,0167;1,062
0,8050;-0,0480;0,3082;1,0167;1,063
0,8150;-0,0520;0,3082;1,0207;1,067
0,8310;-0,0560;0,3042;1,0127;1,059
0,8580;-0,0520;0,2962;1,0167;1,060
0,8600;-0,0520;0,3002;1,0207;1,065
0,8610;-0,0520;0,3042;1,0247;1,070
0,8660;-0,0520;0,3002;1,0287;1,073
0,8750;-0,0480;0,3002;1,0367;1,080
0,8860;-0,0520;0,3082;1,0167;1,064
0,8960;-0,0440;0,3002;1,0207;1,065
0,9050;-0,0480;0,3082;1,0247;1,071
0,9160;-0,0440;0,2962;1,0247;1,068
0,9300;-0,0480;0,2962;1,0167;1,060
0,9500;-0,0480;0,2882;1,0247;1,066
0,9510;-0,0480;0,3002;1,0047;1,050
0,9550;-0,0520;0,3002;1,0207;1,065
0,9650;-0,0480;0,2962;1,0167;1,060
0,9750;-0,0480;0,3002;1,0087;1,054
0,9870;-0,0440;0,3042;1,0167;1,062
0,9950;-0,0480;0,2962;1,0207;1,064
1,0050;-0,0360;0,3002;1,0327;1,076
1,0170;-0,0440;0,2882;1,0207;1,062
1,0310;-0,0440;0,2962;1,0207;1,064
1,0590;-0,0440;0,3002;1,0167;1,061
1,0600;-0,0440;0,2962;1,0167;1,060
1,0610;-0,0440;0,3002;1,0087;1,053
1,0650;-0,0480;0,3002;1,0127;1,057
1,0750;-0,0520;0,3082;1,0287;1,075
1,0870;-0,0440;0,3002;1,0247;1,069
1,0950;-0,0520;0,2842;1,0167;1,057
1,1050;-0,0480;0,3002;1,0087;1,054
1,1160;-0,0440;0,2922;1,0247;1,066
1,1430;-0,0600;0,3042;1,0287;1,074
1,1490;-0,0360;0,3002;1,0047;1,049
1,1500;-0,0400;0,3082;1,0047;1,052
1,1560;-0,0440;0,2922;1,0247;1,066
1,1700;-0,0280;0,3002;1,0007;1,045
1,1750;-0,0360;0,3042;0,9967;1,043
1,1890;-0,0400;0,3082;0,9967;1,044
1,1950;-0,0360;0,2962;1,0247;1,067
1,2050;-0,0400;0,2962;1,0247;1,067
1,2170;-0,0400;0,3002;1,0127;1,057
1,2320;-0,0400;0,2922;1,0127;1,055
1,2610;-0,0360;0,2962;1,0127;1,056
1,2630;-0,0440;0,3002;1,0127;1,057
1,2640;-0,0400;0,2922;1,0207;1,062
1,2650;-0,0440;0,3042;1,0207;1,066
1,2760;-0,0440;0,2922;1,0087;1,051
1,2860;-0,0440;0,2962;1,0207;1,064
1,2950;-0,0480;0,2962;1,0127;1,056
1,3050;-0,0480;0,3002;1,0007;1,046
1,3170;-0,0400;0,2922;1,0047;1,047
1,3390;-0,0480;0,3002;1,0127;1,057
1,3400;-0,0440;0,2962;1,0207;1,064
1,3560;-0,0360;0,2882;1,0047;1,046
